,MainHaloID,HaloID,Galaxy_Type,r,X,Y,Z,Vx,Vy,Vz,R200c,Dispersion,Distancia XY,Distancia YZ,Distancia XZ,m_rx,m_ry,m_rz,Tamaño Angular del grupo XY (arcsec),Tamaño Angular del grupo YZ (arcsec),Tamaño Angular del grupo XZ (arcsec),Brillo Superficial
83846,12576613642,12576613642,0,-18.001469,16442.926,544109.25,461259.34,-70.01,-265.84,73.84,69.868484,117.43163875165317,544357.6,713312.75,461552.3,20.677956,21.26493,20.319637,1.8482449,1.4104699,2.1798313,21.455551
89511,12577118276,12577118276,0,-20.83175,36086.918,627973.6,314403.03,-3.29,2.84,-482.46,102.49574,157.3789021116461,629009.7,702282.1,316467.28,18.161535,18.400808,16.669893,2.3464482,2.101632,4.663795,20.870413
90304,12577195475,12577195475,0,-18.786053,19786.762,594466.06,400191.56,141.12,-352.07,-245.35,85.391716,120.76728017936644,594795.25,716619.25,400680.44,20.085785,20.49039,19.22794,2.0673344,1.7158912,3.068881,21.134165
212190,12588457573,12588457573,0,-21.445255,121460.71,54554.89,633406.4,189.22,98.04,-508.57,123.72096,169.39029672125247,133150.06,635751.44,644946.75,14.176449,17.571182,17.602364,13.38024,2.8023243,2.76237,20.695171
243909,12591398490,12591398490,0,-19.876318,120437.805,333319.03,20510.69,-94.61,-752.47,-701.39,88.02878,115.5547575497723,354410.56,333949.5,122171.82,17.871218,17.742086,15.558538,3.576683,3.7958262,10.375662,20.970766
436079,12608836633,12608836633,0,-20.138966,210259.84,217409.64,69693.945,234.31,-206.4,-287.56,76.52567,191.76705342435173,302450.25,228307.25,221509.47,17.264301,16.653633,16.587994,3.6434739,4.826695,4.9748187,20.1811
530262,12617340271,12617340271,0,-20.121958,257547.61,161746.38,529846.7,-432.43,-225.21,443.97,105.13273,158.71625402965265,304126.06,553985.0,589125.0,17.29331,18.595533,18.729078,4.977906,2.7327657,2.5697622,20.902643
544817,12618761495,12618761495,0,-20.989552,230032.75,280365.2,152834.39,-188.21,-437.75,-143.66,177.68452,374.7997181424307,362656.47,319316.44,276176.44,16.807926,16.531551,16.216381,7.055317,8.012917,9.264569,20.75434
561238,12620442527,12620442527,0,-21.433725,231914.38,383323.8,69905.1,-16.32,-325.62,-179.04,114.14704,177.82921581055956,448019.47,389645.84,242220.98,16.82276,16.51962,15.487333,3.668852,4.21849,6.7860217,20.396408
577363,12621913489,12621913489,0,-21.073164,227958.16,484853.22,437700.75,43.8,1.47,-37.95,102.432594,177.26880965634052,535768.2,653195.7,493504.7,17.571722,18.002054,17.393293,2.753111,2.2581737,2.988886,20.748941
603421,12624327172,12624327172,0,-20.594198,226432.27,650143.75,568677.3,364.65,-132.91,248.01,94.97312,143.9454715182657,688446.4,863759.7,612099.2,18.595156,19.087767,18.339907,1.9865206,1.5833257,2.2342997,20.926437
616700,12625608302,12625608302,0,-20.469711,276602.1,117413.44,36599.793,109.34,201.51,-120.81,89.04097,156.7592696596347,300490.66,122985.61,279013.03,16.919441,14.979561,16.758411,4.2669873,10.425521,4.595448,20.7829
713870,12634294437,12634294437,0,-21.041267,349965.28,35716.023,663094.7,-261.66,-21.83,-503.04,108.77277,198.16859198012602,351783.06,664055.9,749780.1,16.69011,18.069756,18.333405,4.452539,2.3587291,2.0890496,20.54974
746712,12637222261,12637222261,0,-20.105953,323583.12,262616.25,31930.488,-497.49,-283.95,439.09,83.15821,86.67711988755265,416741.3,264550.28,325154.72,17.993378,17.006588,17.454494,2.8734326,4.526467,3.682795,20.964277
864783,12647919999,12647919999,0,-21.315582,397535.38,379262.25,475108.22,406.94,-95.13,-99.89,107.30041,178.28423721977114,549430.8,607920.75,619485.44,17.383984,17.603653,17.644573,2.8122299,2.5416565,2.4942086,20.593306
1029159,12662091357,12662091357,0,-20.699427,461181.88,60677.457,465178.22,476.19,-89.57,-587.29,102.93439,192.69637571255643,465156.38,469118.88,655041.6,17.638567,17.656988,18.381918,3.1865737,3.1596577,2.2628412,20.947569
1032079,12662402481,12662402481,0,-19.362835,489096.38,98715.6,141074.11,260.98,-488.81,236.04,82.38661,182.85181069788575,498958.97,172182.1,509035.53,19.127491,16.817104,19.170906,2.3776848,6.8901873,2.3306177,21.096212
1114191,12670348906,12670348906,0,-20.066711,495046.88,38798.387,154600.53,-176.75,204.34,-510.62,101.98961,168.49203361165826,496564.94,159394.6,518625.8,18.41317,15.945656,18.50756,2.9576197,9.213923,2.831811,20.991068
1258147,12683359802,12683359802,0,-20.014383,573711.2,323472.5,47664.535,78.66,-207.61,501.27,103.92274,181.75020475904628,658619.0,326965.4,575687.8,19.078787,17.558126,18.78655,2.2721593,4.576898,2.599477,20.629488
1258235,12683365296,12683365296,0,-20.642038,548567.7,332354.3,3557.0957,-194.77,410.54,-157.27,115.10279,302.0418822674325,641393.7,332373.34,548579.2,18.393587,16.966093,18.05416,2.5841851,4.9868016,3.0214055,20.955683
1324630,12689133732,12689133732,0,-18.864124,586386.44,85583.7,139164.12,-117.09,-218.88,92.01,82.67734,113.90407958807826,592599.0,163374.48,602673.75,19.999683,17.201797,20.03629,2.0090377,7.2872653,1.975453,21.428192
